[MATCH1]: 6 at 156  with score: 0.14049054303858785
[MATCH1]: 4 at 156  with score: 0.20298072435426656
[MATCH1]: 1 at 157  with score: 0.04360109100515879
[MATCH1]: 3 at 157  with score: 0.15766912975730618
[MATCH1]: 2 at 157  with score: 0.2086476446754949
[MATCH1]: 5 at 157  with score: 0.17630278575148475
[MATCH1]: 6 at 157  with score: 0.06949214592828695
[MATCH1]: 4 at 157  with score: 0.13015992092718293
[MATCH1]: 1 at 158  with score: 0.05794172196127722
[MATCH1]: 3 at 158  with score: 0.19613538850169698
[MATCH1]: 2 at 158  with score: 0.1524040107742227
[MATCH1]: 5 at 158  with score: 0.15924613845934252
[MATCH1]: 6 at 158  with score: 0.10826506488429506
[MATCH1]: 4 at 158  with score: 0.1962156711949978
[MATCH1]: 1 at 159  with score: 0.030778258248724377
[MATCH1]: 3 at 159  with score: 0.09143636980787036
[MATCH1]: 2 at 159  with score: 0.0889473407383877
[MATCH1]: 5 at 159  with score: 0.10945886070000353
[MATCH1]: 6 at 159  with score: 0.12868244275451962
[MATCH1]: 4 at 159  with score: 0.14873647290821174
[MATCH1]: 1 at 160  with score: 0.028079071591697268
[MATCH1]: 3 at 160  with score: 0.0817956556063717
[MATCH1]: 2 at 160  with score: 0.07657823060113082
[MATCH1]: 6 at 160  with score: 0.060347309130371694
[MATCH1]: 4 at 160  with score: 0.1449195618928529
[MATCH2]: 5 at 160  with match score: 0.12310505533874812
[MATCH1]: 1 at 161  with score: 0.030223644567054155
[MATCH1]: 3 at 161  with score: 0.08329200267834272
[MATCH1]: 2 at 161  with score: 0.129479874554411
[MATCH1]: 5 at 161  with score: 0.3128961314202844
[MATCH1]: 6 at 161  with score: 0.09077851525505168
[MATCH2]: 4 at 161  with match score: 0.1387254233235356
[MATCH1]: 1 at 162  with score: 0.02235831768553458
[MATCH1]: 3 at 162  with score: 0.07140167566844893
[MATCH1]: 2 at 162  with score: 0.20094276573025288
[MATCH1]: 5 at 162  with score: 0.240039627356663
[MATCH1]: 6 at 162  with score: 0.08586175200636965
[MATCH1]: 4 at 162  with score: 0.1310353370076293
[MATCH1]: 1 at 163  with score: 0.016456954064446295
[MATCH1]: 3 at 163  with score: 0.09650372646772772
[MATCH1]: 2 at 163  with score: 0.1768325452232685
[MATCH1]: 5 at 163  with score: 0.2128410933715027
[MATCH1]: 6 at 163  with score: 0.06321270562916445
[MATCH1]: 4 at 163  with score: 0.14123147534066793
[MATCH1]: 1 at 164  with score: 0.01756250415781946
[MATCH1]: 3 at 164  with score: 0.08011658469547894
[MATCH1]: 2 at 164  with score: 0.16611031035689056
[MATCH1]: 5 at 164  with score: 0.1792537133836999
[MATCH1]: 6 at 164  with score: 0.07744687140523064
[MATCH1]: 4 at 164  with score: 0.20549759692658098
[MATCH1]: 1 at 165  with score: 0.04962312830492861
[MATCH1]: 3 at 165  with score: 0.0771593058290911
[MATCH1]: 2 at 165  with score: 0.1377252534313779
[MATCH1]: 5 at 165  with score: 0.13161572915290104
[MATCH1]: 6 at 165  with score: 0.09707003571037583
[MATCH1]: 4 at 165  with score: 0.21493679805867053
[MATCH1]: 1 at 166  with score: 0.017357624085742686
[MATCH1]: 3 at 166  with score: 0.06352393299766715
[MATCH1]: 2 at 166  with score: 0.1915711560014421
[MATCH1]: 5 at 166  with score: 0.16673697344055557
[MATCH1]: 6 at 166  with score: 0.09256035410541884
[MATCH1]: 1 at 167  with score: 0.014701296447552891
[MATCH1]: 3 at 167  with score: 0.06254165701949664
[MATCH1]: 2 at 167  with score: 0.2011966536783422
[MATCH1]: 5 at 167  with score: 0.07597221250314531
[MATCH1]: 6 at 167  with score: 0.05967646006747838
[MATCH1]: 1 at 168  with score: 0.035394427088027675
[MATCH1]: 3 at 168  with score: 0.09401952278174971
[MATCH1]: 2 at 168  with score: 0.22738473677092763
[MATCH1]: 5 at 168  with score: 0.1809449558973252
[MATCH1]: 6 at 168  with score: 0.10018605702577975
[MATCH1]: 4 at 168  with score: 0.11443604169234699
[MATCH1]: 1 at 169  with score: 0.02191525212657477
[MATCH1]: 3 at 169  with score: 0.04517723645649372
[MATCH1]: 5 at 169  with score: 0.14016052181278843
[MATCH1]: 6 at 169  with score: 0.0919925323834078
[MATCH1]: 4 at 169  with score: 0.13929651518330455
[MATCH2]: 2 at 169  with match score: 0.2113952384883266
[MATCH3]: 2 at 169  with score: 0.4087957916289925
[MATCH1]: 1 at 170  with score: 0.007837664178503307
[MATCH1]: 3 at 170  with score: 0.10768941482355109
[MATCH1]: 5 at 170  with score: 0.08730223303370985
[MATCH1]: 6 at 170  with score: 0.07659925982618944
[MATCH1]: 4 at 170  with score: 0.1575759615056293
[MATCH1]: 7 at 170  with score: 0.2875232991971372
[MATCH1]: 1 at 171  with score: 0.02330587897156347
[MATCH1]: 3 at 171  with score: 0.030442060394188702
[MATCH1]: 5 at 171  with score: 0.07414774923662193
[MATCH1]: 6 at 171  with score: 0.06585427271895618
[MATCH1]: 4 at 171  with score: 0.2041655463743211
[MATCH1]: 7 at 171  with score: 0.24290354473282696
[MATCH1]: 1 at 172  with score: 0.006831380279484884
[MATCH1]: 3 at 172  with score: 0.053608175882546454
[MATCH1]: 5 at 172  with score: 0.12591692665508925
[MATCH1]: 6 at 172  with score: 0.03302531485275961
[MATCH1]: 4 at 172  with score: 0.19398045964758265
[MATCH1]: 7 at 172  with score: 0.16371719359745948
[MATCH2]: 2 at 172  with match score: 0.06378051895680918
[MATCH1]: 1 at 173  with score: 0.01822753091589953
[MATCH1]: 3 at 173  with score: 0.07009287233970338
